"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","stadium","weather_temperature","weather_wind_mph","weather_humidity","weather_detail"
"3681","19841021NYGPHI",1984,"8",1984-10-21,"PHI","Veterans Stadium",68,9,78,""
"3682","19841021PITIND",1984,"8",1984-10-21,"IND","RCA Dome",72,0,NA,"indoor"
"3683","19841021SEAGB",1984,"8",1984-10-21,"GB","Lambeau Field",48,12,80,""
"3684","19841021SFTEN",1984,"8",1984-10-21,"TEN","Houston Astrodome",72,0,NA,"indoor"
"3685","19841021WASARI",1984,"8",1984-10-21,"ARI","Busch Memorial Stadium",48,12,96,""
"3686","19841022LARATL",1984,"8",1984-10-22,"ATL","Atlanta-Fulton County Stadium",71,12,79,""
"3687","19841028ARIPHI",1984,"9",1984-10-28,"PHI","Veterans Stadium",68,9,79,""
"3688","19841028ATLPIT",1984,"9",1984-10-28,"PIT","Three Rivers Stadium",68,11,60,""
"3689","19841028BUFMIA",1984,"9",1984-10-28,"MIA","Orange Bowl",80,16,74,""
"3690","19841028CINTEN",1984,"9",1984-10-28,"TEN","Houston Astrodome",72,0,NA,"indoor"
"3691","19841028DENLVR",1984,"9",1984-10-28,"LVR","Los Angeles Memorial Coliseum",60,7,62,""
"3692","19841028DETGB",1984,"9",1984-10-28,"GB","Lambeau Field",47,19,72,""
"3693","19841028INDDAL",1984,"9",1984-10-28,"DAL","Texas Stadium",67,10,71,""
"3694","19841028MINCHI",1984,"9",1984-10-28,"CHI","Soldier Field",55,12,76,""
"3695","19841028NOCLE",1984,"9",1984-10-28,"CLE","Cleveland Municipal Stadium",69,14,68,""
"3696","19841028NYJNE",1984,"9",1984-10-28,"NE","Foxboro Stadium",59,13,88,""
"3697","19841028SFLAR",1984,"9",1984-10-28,"LAR","Anaheim Stadium",60,7,62,""
"3698","19841028TBKC",1984,"9",1984-10-28,"KC","Arrowhead Stadium",47,14,73,""
"3699","19841028WASNYG",1984,"9",1984-10-28,"NYG","Giants Stadium",66,8,88,""
"3700","19841029SEALAC",1984,"9",1984-10-29,"LAC","Qualcomm Stadium",64,9,76,""
"3701","19841104CINSF",1984,"10",1984-11-04,"SF","Candlestick Park",55,11,70,""
"3702","19841104CLEBUF",1984,"10",1984-11-04,"BUF","Ralph Wilson Stadium",42,11,68,""
"3703","19841104GBNO",1984,"10",1984-11-04,"NO","Louisiana Superdome",72,0,NA,"indoor"
"3704","19841104KCSEA",1984,"10",1984-11-04,"SEA","Seattle Kingdome",72,0,NA,"indoor"
"3705","19841104LACIND",1984,"10",1984-11-04,"IND","RCA Dome",72,0,NA,"indoor"
"3706","19841104LARARI",1984,"10",1984-11-04,"ARI","Busch Memorial Stadium",53,10,72,""
"3707","19841104LVRCHI",1984,"10",1984-11-04,"CHI","Soldier Field",51,18,71,""
