"","game_id","schedule_season","schedule_week","schedule_date","team_favorite_id","spread_favorite","over_under_line"
"340","19671217NEMIA",1967,"16",1967-12-17,"",NA,NA
"341","19671217NOWAS",1967,"14",1967-12-17,"",NA,NA
"342","19671217NYJLVR",1967,"16",1967-12-17,"",NA,NA
"343","19671217PITGB",1967,"14",1967-12-17,"",NA,NA
"344","19671223LARGB",1967,"15",1967-12-23,"",NA,NA
"345","19671223TENMIA",1967,"17",1967-12-23,"",NA,NA
"346","19671224BUFLVR",1967,"17",1967-12-24,"",NA,NA
"347","19671224CLEDAL",1967,"15",1967-12-24,"",NA,NA
"348","19671224NYJLAC",1967,"17",1967-12-24,"",NA,NA
"349","19671231DALGB",1967,"Conference",1967-12-31,"",NA,NA
"350","19671231TENLVR",1967,"Conference",1967-12-31,"",NA,NA
"351","19680114LVRGB",1967,"Superbowl",1968-01-14,"GB",-13.5,43
"352","19680906CINLAC",1968,"1",1968-09-06,"",NA,NA
"353","19680908NEBUF",1968,"1",1968-09-08,"",NA,NA
"354","19680909KCTEN",1968,"1",1968-09-09,"",NA,NA
"355","19680914ATLMIN",1968,"1",1968-09-14,"",NA,NA
"356","19680914TENMIA",1968,"2",1968-09-14,"",NA,NA
"357","19680915CLENO",1968,"1",1968-09-15,"",NA,NA
"358","19680915DENCIN",1968,"2",1968-09-15,"",NA,NA
"359","19680915DETDAL",1968,"1",1968-09-15,"",NA,NA
"360","19680915LVRBUF",1968,"2",1968-09-15,"",NA,NA
"361","19680915NYGPIT",1968,"1",1968-09-15,"",NA,NA
"362","19680915NYJKC",1968,"2",1968-09-15,"",NA,NA
"363","19680915PHIGB",1968,"1",1968-09-15,"",NA,NA
"364","19680915SFIND",1968,"1",1968-09-15,"",NA,NA
"365","19680915WASCHI",1968,"1",1968-09-15,"",NA,NA
"366","19680916LARARI",1968,"1",1968-09-16,"",NA,NA
"367","19680921LVRMIA",1968,"3",1968-09-21,"",NA,NA
"368","19680921TENLAC",1968,"3",1968-09-21,"",NA,NA
"369","19680922ARISF",1968,"2",1968-09-22,"",NA,NA
"370","19680922BUFCIN",1968,"3",1968-09-22,"",NA,NA
"371","19680922CHIDET",1968,"2",1968-09-22,"",NA,NA
"372","19680922CLEDAL",1968,"2",1968-09-22,"",NA,NA
"373","19680922DENKC",1968,"3",1968-09-22,"",NA,NA
"374","19680922INDATL",1968,"2",1968-09-22,"",NA,NA
"375","19680922MINGB",1968,"2",1968-09-22,"",NA,NA
"376","19680922NYGPHI",1968,"2",1968-09-22,"",NA,NA
"377","19680922NYJNE",1968,"3",1968-09-22,"",NA,NA
"378","19680922PITLAR",1968,"2",1968-09-22,"",NA,NA
"379","19680922WASNO",1968,"2",1968-09-22,"",NA,NA
"380","19680928KCMIA",1968,"4",1968-09-28,"",NA,NA
"381","19680929ARINO",1968,"3",1968-09-29,"",NA,NA
"382","19680929ATLSF",1968,"3",1968-09-29,"",NA,NA
"383","19680929CHIMIN",1968,"3",1968-09-29,"",NA,NA
"384","19680929DALPHI",1968,"3",1968-09-29,"",NA,NA
"385","19680929DETGB",1968,"3",1968-09-29,"",NA,NA
"386","19680929INDPIT",1968,"3",1968-09-29,"",NA,NA
"387","19680929LACCIN",1968,"4",1968-09-29,"",NA,NA
"388","19680929LARCLE",1968,"3",1968-09-29,"",NA,NA
"389","19680929LVRTEN",1968,"4",1968-09-29,"",NA,NA
"390","19680929NEDEN",1968,"4",1968-09-29,"",NA,NA
"391","19680929NYJBUF",1968,"4",1968-09-29,"",NA,NA
"392","19680929WASNYG",1968,"3",1968-09-29,"",NA,NA
"393","19681005KCBUF",1968,"5",1968-10-05,"",NA,NA
"394","19681005LACNYJ",1968,"5",1968-10-05,"",NA,NA
"395","19681005PITCLE",1968,"4",1968-10-05,"",NA,NA
"396","19681006CHIIND",1968,"4",1968-10-06,"",NA,NA
"397","19681006CINDEN",1968,"5",1968-10-06,"",NA,NA
"398","19681006DALARI",1968,"4",1968-10-06,"",NA,NA
"399","19681006DETMIN",1968,"4",1968-10-06,"",NA,NA
"400","19681006GBATL",1968,"4",1968-10-06,"",NA,NA
"401","19681006MIATEN",1968,"5",1968-10-06,"",NA,NA
"402","19681006NELVR",1968,"5",1968-10-06,"",NA,NA
"403","19681006NONYG",1968,"4",1968-10-06,"",NA,NA
"404","19681006PHIWAS",1968,"4",1968-10-06,"",NA,NA
"405","19681006SFLAR",1968,"4",1968-10-06,"",NA,NA
"406","19681012BUFMIA",1968,"6",1968-10-12,"",NA,NA
"407","19681013ARICLE",1968,"5",1968-10-13,"",NA,NA
"408","19681013CINKC",1968,"6",1968-10-13,"",NA,NA
"409","19681013DENNYJ",1968,"6",1968-10-13,"",NA,NA
"410","19681013DETCHI",1968,"5",1968-10-13,"",NA,NA
"411","19681013INDSF",1968,"5",1968-10-13,"",NA,NA
"412","19681013LACLVR",1968,"6",1968-10-13,"",NA,NA
"413","19681013LARGB",1968,"5",1968-10-13,"",NA,NA
"414","19681013MINNO",1968,"5",1968-10-13,"",NA,NA
"415","19681013NYGATL",1968,"5",1968-10-13,"",NA,NA
