"","schedule_week","schedule_date","team_home_id","team_away_id","team_winner_predicted","team_winner_ats","team_home_win_prob","team_away_win_prob","over_under_pick","score_total_predicted"
"216","4",1967-10-08,"WAS","DAL","WAS (51%)",NA,0.508462209082776,0.491537790917224,NA,46.8
"217","4",1967-10-08,"DET","GB","GB (87%)",NA,0.128207272441308,0.871792727558692,"Under (NA)",41
"218","4",1967-10-08,"CHI","IND","IND (78%)",NA,0.217297455039216,0.782702544960784,NA,42
"219","6",1967-10-08,"KC","MIA","KC (91%)",NA,0.905186455835237,0.0948135441647628,NA,40.8
"220","6",1967-10-08,"LAC","NE","LAC (69%)",NA,0.689691026781155,0.310308973218845,NA,43.7
"221","4",1967-10-08,"NYG","NO","NO (59%)",NA,0.406374643731728,0.593625356268272,NA,42.4
"222","4",1967-10-08,"ATL","PHI","PHI (85%)",NA,0.149298454872936,0.850701545127064,NA,41.6
"223","4",1967-10-08,"LAR","SF","LAR (78%)",NA,0.778521920772776,0.221478079227224,NA,41.6
"224","5",1967-10-15,"CLE","ARI","CLE (62%)",NA,0.624832644665005,0.375167355334995,"Under (NA)",41.3
"225","5",1967-10-15,"CHI","DET","CHI (57%)",NA,0.574319941147349,0.425680058852651,NA,44.1
"226","7",1967-10-15,"LAC","KC","KC (56%)",NA,0.438188551900263,0.561811448099737,NA,42.1
"227","5",1967-10-15,"IND","LAR","IND (73%)",NA,0.730783030193981,0.269216969806019,NA,42.1
"228","7",1967-10-15,"BUF","LVR","LVR (66%)",NA,0.34345540282429,0.65654459717571,NA,45.3
"229","7",1967-10-15,"NE","MIA","NE (80%)",NA,0.798962613605186,0.201037386394814,NA,40.5
"230","5",1967-10-15,"GB","MIN","GB (99%)",NA,0.986189850040238,0.0138101499597623,NA,40.6
"231","5",1967-10-15,"DAL","NO","DAL (92%)",NA,0.922382985044276,0.0776170149557238,"Under (NA)",40.6
"232","5",1967-10-15,"PIT","NYG","PIT (67%)",NA,0.672012559532769,0.327987440467231,NA,40.1
"233","5",1967-10-15,"PHI","SF","PHI (70%)",NA,0.704504726709847,0.295495273290153,NA,41.9
